#{"t_start": 1774912042.6845925, "env_id": "None"}
r,l,t
10.189904,12,765.518328
0.98938525,2,765.518391
9.714853,12,767.749572
5.244199,7,767.749868
3.9590473,5,767.750057
11.00833,13,767.75009
9.092273,12,767.75011
10.811392,13,767.750128
1.9583726,3,767.750144
10.756453,12,767.750163
1.2765543,2,769.621845
1.1962425,2,769.621937
14.395803,16,769.621961
6.758337,8,771.57518
4.5953035,6,771.575274
4.1234093,5,771.575305
6.2771945,7,771.575333
1.9602091,3,771.575357
1.795329,3,771.57538
3.9590473,5,771.5754
12.356486,14,774.349566
13.758304,15,774.350041
2.123509,3,776.332873
1.9602091,3,776.332972
7.557206,9,776.332994
5.98759,7,776.333011
7.5575085,9,778.231978
2.2773986,3,778.232054
3.7603533,5,778.232069
12.054113,13,779.852214
17.759895,20,779.868456
3.9590473,5,779.868532
1.1211282,2,779.868551
8.921669,10,779.868565
10.975254,13,779.868579
4.760184,6,779.868594
4.5592594,6,779.868608
2.9592168,4,779.868623
8.760149,10,779.868635
6.957163,8,782.949374
12.953724,14,782.949448
5.5930443,7,782.949466
6.75792,8,784.82133
6.7583,8,784.821396
2.9875925,4,784.821409
1.9251442,3,784.821419
6.9972243,8,784.821459
11.555358,13,786.687649
5.955576,7,786.687742
1.597429,3,786.687769
1.9583726,3,786.687788
1.9200126,3,786.687806
4.959018,6,786.687824
13.561285,15,788.41977
2.586801,4,788.419848
1.278391,2,788.419866
4.851763,6,791.13333
7.558193,9,791.134088
8.756068,10,793.119588
3.555776,5,793.119656
6.955326,8,793.119669
9.119694,10,793.119678
2.275553,3,793.119687
9.5574045,11,794.996716
5.955059,7,794.996801
6.119433,7,794.996824
2.9592168,4,794.996842
3.4540796,5,796.787322
6.6467214,8,796.787411
4.856616,6,796.787428
6.15625,8,799.806266
3.1960056,5,799.806348
8.560315,11,799.806366
6.6523385,8,801.732583
11.003634,13,801.732662
8.8599205,11,801.732683
17.649624,20,801.732701
9.054113,10,801.732716
2.398546,4,803.672223
7.7584643,9,803.672309
0.91821903,2,803.672331
6.5564337,8,805.516409
8.121556,9,805.516489
6.043114,8,805.51651
6.1922836,8,808.222533
1.9602091,3,808.222611
17.400845,19,808.222627
19.55785,21,808.222639
11.555341,13,808.22265
5.123407,6,810.222936
9.95374,11,810.223005
7.757919,9,812.110626
